Campaign,Ad Group,Keyword,Match Type,Bid
Everything In Perspective,Everything In Perspective,aaj tak,[Exact],1.50
Everything In Perspective,Everything In Perspective,"amazon prime video",["Phrase"],1.25
Everything In Perspective,Everything In Perspective,bbc news,[Exact],1.75
Everything In Perspective,Everything In Perspective,"best buy retail",["Phrase"],1.30
Everything In Perspective,Everything In Perspective,canva design platform,[Exact],1.40
